"Category","Math Question","multipulChoiceOptions","Answer","Tip to Solve","mathEquation","multipulChoice","questionType"
"calculateInteger","6 × 199","","1194","199 is close to 200. First calculate 6 × 200 = 1200, then subtract 6 × 1 = 6. Answer: 1194.","6×199","false","formula"
"calculateInteger","4 × 98","","392","98 is close to 100. Calculate 4 × 100 = 400, then subtract 4 × 2 = 8. Answer: 392.","4×98","false","formula"
"calculateInteger","6 × 101","","606","101 is close to 100. Calculate 6 × 100 = 600, then add 6 × 1 = 6. Answer: 606.","6×101","false","formula"
"calculateInteger","4 × 403","","1612","403 is close to 400. Calculate 4 × 400 = 1600, then add 4 × 3 = 12. Answer: 1612.","4×403","false","formula"
"calculateInteger","5 × 99","","495","99 is close to 100. Calculate 5 × 100 = 500, then subtract 5 × 1 = 5. Answer: 495.","5×99","false","formula"
"calculateInteger","7 × 199","","1393","199 is close to 200. Calculate 7 × 200 = 1400, then subtract 7 × 1 = 7. Answer: 1393.","7×199","false","formula"
"calculateInteger","2 × 302","","604","302 is close to 300. Calculate 2 × 300 = 600, then add 2 × 2 = 4. Answer: 604.","2×302","false","formula"
"calculateInteger","4 × 198","","792","198 is close to 200. Calculate 4 × 200 = 800, then subtract 4 × 2 = 8. Answer: 792.","4×198","false","formula"
"calculateInteger","2 × 399","","798","399 is close to 400. Calculate 2 × 400 = 800, then subtract 2 × 1 = 2. Answer: 798.","2×399","false","formula"
"calculateInteger","3 × 202","","606","202 is close to 200. Calculate 3 × 200 = 600, then add 3 × 2 = 6. Answer: 606.","3×202","false","formula"
"calculateInteger","3 × 699","","2097","699 is close to 700. Calculate 3 × 700 = 2100, then subtract 3 × 1 = 3. Answer: 2097.","3×699","false","formula"
"calculateInteger","4 × 802","","3208","802 is close to 800. Calculate 4 × 800 = 3200, then add 4 × 2 = 8. Answer: 3208.","4×802","false","formula"
"calculateInteger","3 × 798","","2394","798 is close to 800. Calculate 3 × 800 = 2400, then subtract 3 × 2 = 6. Answer: 2394.","3×798","false","formula"
"calculateInteger","6 × 999","","5994","999 is close to 1000. Calculate 6 × 1000 = 6000, then subtract 6 × 1 = 6. Answer: 5994.","6×999","false","formula"
"calculateInteger","3 × 701","","2103","701 is close to 700. Calculate 3 × 700 = 2100, then add 3 × 1 = 3. Answer: 2103.","3×701","false","formula"
"calculateInteger","5 × 998","","4990","998 is close to 1000. Calculate 5 × 1000 = 5000, then subtract 5 × 2 = 10. Answer: 4990.","5×998","false","formula"
"calculateInteger","100 × 201","","20100","201 is close to 200. Calculate 100 × 200 = 20,000, then add 100 × 1 = 100. Answer: 20,100.","100×201","false","formula"
"calculateInteger","7 × 399","","2793","399 is close to 400. Calculate 7 × 400 = 2800, then subtract 7 × 1 = 7. Answer: 2793.","7×399","false","formula"
"calculateInteger","101 × 99","","9999","Round 99 up to 100: 101 × 100 = 10,100, then subtract 101 × 1 = 101. Answer: 9999.","101×99","false","formula"
